,Date,Current Face Value
337,2018-10-31,1668988694117.3499
338,2018-11-07,1668988694117.38
339,2018-11-14,1670824668681.2996
340,2018-11-21,0.0
341,2018-11-28,1653467689696.0498
342,2018-12-05,1653469689358.99
343,2018-12-12,1653469689358.99
344,2018-12-19,1648686717981.6707
345,2018-12-26,1637123400274.7603
346,2019-01-02,1637123400274.72
347,2019-01-09,1637123400274.72
348,2019-01-16,1632728750923.31
349,2019-01-23,1628894706661.02
350,2019-01-30,1621808659682.49
351,2019-02-06,1621808659682.49
352,2019-02-13,1621955651907.8997
353,2019-02-20,1614149817669.9001
354,2019-02-27,1607608628256.94
355,2019-03-06,1607608628256.94
356,2019-03-13,1607766623967.4404
357,2019-03-20,1599471502995.6501
358,2019-03-27,1592722598330.71
359,2019-04-03,1592722598330.71
360,2019-04-10,1592911593252.0298
361,2019-04-17,1587937901013.11
362,2019-04-24,1583393324002.06
363,2019-05-01,1575433493660.64
364,2019-05-08,1575433493660.64
365,2019-05-15,1569584114272.3098
366,2019-05-22,1564427779555.6099
367,2019-05-29,1555405270569.4802
368,2019-06-05,1555405270557.87
369,2019-06-12,1555405270555.1602
370,2019-06-19,1548795928518.61
371,2019-06-26,1532726162009.8
372,2019-07-03,1532726161002.5203
373,2019-07-10,1532726161002.5203
374,2019-07-17,1527093335084.26
375,2019-07-24,1521541838009.78
376,2019-07-31,1511774921667.9497
377,2019-08-07,1511776921624.8499
378,2019-08-14,1514173777522.66
379,2019-08-21,1500669579430.29
380,2019-08-28,1489605199586.3098
381,2019-09-04,1489605276472.6604
382,2019-09-11,1489605276573.0403
383,2019-09-18,1484433798442.5198
384,2019-09-25,1467257199949.2297
385,2019-10-02,1467260200048.21
386,2019-10-09,1467273200037.89
387,2019-10-16,1463137480461.39
388,2019-10-23,1457914258377.5598
389,2019-10-30,1445761926894.77
390,2019-11-06,1445775926883.15
391,2019-11-13,1450088869666.78
392,2019-11-20,1437196544411.9102
393,2019-11-27,0.0
394,2019-12-04,1423724827148.4797
395,2019-12-11,1423724827146.1997
396,2019-12-18,1422435726592.54
397,2019-12-25,0.0
398,2020-01-01,0.0
399,2020-01-08,1408676620580.5598
400,2020-01-15,1404317501216.8398
401,2020-01-22,1398642265493.0999
402,2020-01-29,1387288002308.18
403,2020-02-05,1387289002302.0598
404,2020-02-12,1391525788316.47
405,2020-02-19,1385784076406.01
406,2020-02-26,1371842553106.4297
407,2020-03-04,1371845552820.9297
408,2020-03-11,1371845553001.2495
409,2020-03-18,1366675576210.06
410,2020-03-25,1384563450265.03
411,2020-04-01,1456262773362.49
412,2020-04-08,1456242297312.8499
413,2020-04-15,1562460573800.7502
414,2020-04-22,1615615078200.7102
415,2020-04-29,1597206155848.9998
416,2020-05-06,1597206155981.6099
417,2020-05-13,1775150564858.4202
418,2020-05-20,1853984547244.84
419,2020-05-27,1826211559211.95
420,2020-06-03,1826488559125.85
421,2020-06-10,1826489558449.71
422,2020-06-17,1909627876463.2002
423,2020-06-24,1934299384963.7698
424,2020-07-01,1902206880051.89
425,2020-07-08,1902226879257.9
426,2020-07-15,1939214457343.4897
427,2020-07-22,1961420522579.1
428,2020-07-29,1924203060863.4402
429,2020-08-05,1924219061264.5505
430,2020-08-12,1924219061365.8604
431,2020-08-19,1968594178586.0198
432,2020-08-26,1939919413543.2002
433,2020-09-02,1939922412073.6602
434,2020-09-09,1940285412060.26
435,2020-09-16,1995638667868.16
436,2020-09-23,2015471411165.31
437,2020-09-30,1973275638598.45
438,2020-10-07,1973275638598.2
439,2020-10-14,2037299239469.2102
440,2020-10-21,2037696336302.5403
441,2020-10-28,1990576265902.57
442,2020-11-04,1990593266399.76
443,2020-11-11,0.0
444,2020-11-18,2041399115456.22
445,2020-11-25,1993806249435.4697
446,2020-12-02,1993835250360.9
447,2020-12-09,1993835250440.93
448,2020-12-16,2069326412710.32
449,2020-12-23,2076731772411.1604
450,2020-12-30,2029628198041.1301
451,2021-01-06,2029629198241.8298
452,2021-01-13,2029629198142.38
453,2021-01-20,2090005609570.93
454,2021-01-27,2059890462940.2798
455,2021-02-03,2059899463004.69
456,2021-02-10,2059900462908.5398
457,2021-02-17,2160665581150.1697
458,2021-02-24,2170781817205.14
459,2021-03-03,2123505704388.1094
460,2021-03-10,2123541703770.4595
461,2021-03-17,2211508823003.3604
462,2021-03-24,2224887026429.86
463,2021-03-31,2174740173910.92
464,2021-04-07,2174741173910.2397
465,2021-04-14,2239076353931.1597
466,2021-04-21,2237110598513.3
467,2021-04-28,2181428790405.6296
468,2021-05-05,2181448790319.2498
469,2021-05-12,2181448790319.2498
470,2021-05-19,2267735648366.11
471,2021-05-26,2234442006553.19
472,2021-06-02,2234447008474.6494
473,2021-06-09,2234447008614.1396
474,2021-06-16,2318351802275.27
475,2021-06-23,2344382599824.099
476,2021-06-30,2309867527179.19
477,2021-07-07,2309867527179.19
478,2021-07-14,2392591797850.5796
479,2021-07-21,2412441113316.5894
480,2021-07-28,2375066782023.4
481,2021-08-04,2375072782258.4995
482,2021-08-11,2375072782258.4995
483,2021-08-18,2455979762780.3896
484,2021-08-25,2428441526624.0
485,2021-09-01,2428442526621.0
486,2021-09-08,2428442526621.0
487,2021-09-15,2504530550737.66
488,2021-09-22,2526984063851.91
489,2021-09-29,2485136565659.2505
490,2021-10-06,2485201565927.35
491,2021-10-13,2485211565629.4404
492,2021-10-20,2537425198326.3594
493,2021-10-27,2518385276066.45
494,2021-11-03,2518432273010.1104
495,2021-11-10,2583974779051.031
496,2021-11-17,2594064771144.56
497,2021-11-24,2600360064612.8296
498,2021-12-01,2561596953614.0796
499,2021-12-08,2561631108734.401
500,2021-12-15,2618842675558.3403
501,2021-12-22,2640421345674.2505
502,2021-12-29,2606254819888.9395
503,2022-01-05,2606322436323.341
504,2022-01-12,2606329437403.3906
505,2022-01-19,2677063905934.2896
506,2022-01-26,2651722412785.25
507,2022-02-02,2651746915428.1396
508,2022-02-09,2651752914730.96
509,2022-02-16,2695536723789.6094
510,2022-02-23,2708790807421.03
511,2022-03-02,2682305936031.631
512,2022-03-09,2682308935932.24
513,2022-03-16,2720898855733.38
514,2022-03-23,2729727440837.949
515,2022-03-30,2706233220545.579
516,2022-04-06,2706338216391.699
517,2022-04-13,2731168362205.159
518,2022-04-20,2721694229359.01
519,2022-04-27,2706069208532.3706
520,2022-05-04,2706077239040.781
521,2022-05-11,2706078238839.469
